,Epsilon
0,3.8275739538204454
1,0.09595997632126602
2,0.05703449319026209
3,0.06679064835585763
4,0.07017623513450906
5,0.1867221173498608
6,0.5259181876154395
7,0.5852739941877428
8,0.8991640539239358
9,0.8528954802866956
10,0.9580685418161247
11,0.8576516540138285
12,0.7471891362446593
13,0.05584146034843142
14,0.5275901143081001
15,0.5192047425333445
16,0.5127296355479966
17,0.43767849575994866
18,0.29991027055732694
19,0.2695349233173858
20,0.1441049599506685
21,0.1045750959117142
22,0.12148248064142034
23,0.07739937496780784
24,0.10463000518706025
25,0.11955431385867728
26,0.09703884549845944
27,0.11367414353008745
28,0.07377245019583573
29,0.06295834252908597
30,0.03520717452056341
31,0.07672376320069327
32,0.047779187200650435
33,0.11953243028028233
34,0.09565829876623738
35,0.315091507291071
36,0.3710596130886352
37,0.5278004499387408
38,0.5844094136425267
39,0.6544062712689228
40,0.6223891563015549
41,0.555663291946694
42,0.47429569302657193
43,0.49305145895378605
44,0.13900498786949506
45,0.061102184734433324
46,0.018258435558903222
47,0.13611936361673244
48,0.19682361938235401
49,0.23093138099966867
50,0.24438925576055714
51,0.5558194018874126
52,0.5363581013638179
53,0.5860428694835087
54,0.5514417557921277
55,0.5370885055529313
56,0.5566286581415872
57,0.5566286581415872
58,0.5103781268953158
59,0.44184812854243616
60,0.2071426807219297
61,0.3290091366389367
62,0.3318617274253599
63,0.4068651788019973
64,0.389846044022909
65,0.3593161616719721
66,0.3616535418317387
67,0.40229969576036956
68,0.014863339206817837
69,0.020961969533411513
70,0.0740576891531829
71,0.09727261898072928
72,0.46278674612422604
73,0.49423938389736655
74,0.20950049057953032
75,0.1251286006490026
76,0.6920100131714924
77,0.5403096160452251
78,0.532545849177574
79,0.4318239694860375
80,0.23876517781130346
81,0.40524910982411316
82,0.5126979227616252
83,0.5142675556896874
84,0.4890001678763689
85,0.4980958453808312
86,0.48807165740295644
87,0.5281139076995293
88,0.5456137610666604
89,0.5377321142698217
90,0.5329473470803133
91,0.3860392510246684
92,0.3710935646222803
93,0.3021782761073473
94,0.30217827610734754
95,0.02353830542138162
96,1.0150160720321098
97,0.7002907281148387
98,0.5763485710192039
99,0.12073184820037076
100,1.6952972798905253
101,0.9098951568347333
102,0.566235578473621
103,0.29919840410873805
104,0.013327818719048128
105,0.005356116868458305
106,0.05236493518542471
107,0.058735048818466036
108,0.061184214195780046
109,0.19987271218809818
110,0.12122567817351274
111,0.07767258622546068
112,0.04024743891253243
113,0.025202407855902186
114,0.07433291456884204
115,0.13669507016200588
116,0.16707010011582535
117,0.20130156184724315
118,0.23849769564116086
119,0.01268978923582783
120,0.018051556158301178
121,0.07870473248514286
122,0.23509415458037752
123,0.2598035320389079
124,0.24651739106722068
125,0.21315084518109711
126,0.0462512294291224
127,0.09269664568230628
128,0.0960087161576991
129,0.14387900196236134
130,0.24636283384182137
131,0.3116157952019316
132,0.35039108753669473
133,0.3224454075277857
134,0.3258621682588647
135,0.3585650970469186
136,0.39288173808323273
137,0.39773527788612717
138,0.42592987487082284
139,0.5998944432718752
140,0.6148552583432161
141,0.597151008420512
142,0.6548801628774757
143,0.6466578370609121
144,0.4380353598974534
145,0.5218215718658025
146,0.6768070653229292
147,1.266784395976662
148,1.1530040170395837
149,0.9393013936305902
150,0.7452371655596185
151,0.608040958185643
152,0.6029165436210643
153,0.3950893389520525
154,0.3367512559722784
155,0.1843524474156111
156,0.28307130970674377
157,0.4199334160407845
158,1.2733302735156335
159,1.3062435355755877
160,1.3556900678745953
161,1.257090603487018
162,1.1560364908861376
163,0.591834393290816
164,0.22982849598061159
165,0.11137251995680031
166,0.0012268913758414005
167,0.007177939038790341
168,0.021032097242667358
169,0.11480528640750322
170,0.075516308105728
171,0.14485812884170873
172,0.16993437536528244
173,0.14574542069803484
174,0.2000052408995507
175,0.03571305600235844
176,0.27569593824083
177,0.7709783816981617
178,0.8973908496908992
179,0.9616281469010447
